                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0623,                0.86691,                 1.2096,                0.87496,                0.82185,                 0.8867,                0.63565,                 1.0418,                0.64186,                 1.1498,               0.008845,               0.008845,               0.008845
                     37,                 1.0573,                0.86089,                 1.2072,                0.87435,                0.82428,                0.88693,                0.63634,                 1.0412,                0.63913,                 1.1486,               0.008812,               0.008812,               0.008812
                     38,                 1.0523,                0.85966,                 1.2039,                0.87565,                0.82452,                0.88758,                 0.6369,                  1.041,                0.63611,                 1.1476,               0.008779,               0.008779,               0.008779
                     39,                 1.0548,                 0.8584,                 1.2022,                0.87461,                0.82642,                 0.8882,                0.63782,                 1.0402,                0.63321,                 1.1461,               0.008746,               0.008746,               0.008746
                     40,                 1.0514,                0.85622,                 1.2024,                0.87582,                0.82667,                0.88932,                0.63888,                 1.0387,                0.62848,                 1.1447,               0.008713,               0.008713,               0.008713
                     41,                 1.0533,                0.84737,                 1.2014,                0.87718,                0.82715,                0.89007,                0.63989,                 1.0379,                0.62515,                 1.1436,                0.00868,                0.00868,                0.00868
                     42,                 1.0512,                0.84561,                 1.2009,                0.87801,                0.82888,                0.89094,                 0.6407,                 1.0376,                0.62153,                 1.1424,               0.008647,               0.008647,               0.008647
                     43,                 1.0452,                0.84342,                 1.1964,                0.87868,                0.83016,                0.89178,                0.64145,                  1.037,                0.61825,                 1.1413,               0.008614,               0.008614,               0.008614
                     44,                 1.0464,                0.84091,                 1.1972,                0.88017,                0.83079,                 0.8925,                0.64221,                 1.0362,                0.61519,                 1.1398,               0.008581,               0.008581,               0.008581
                     45,                 1.0456,                0.83945,                 1.1959,                0.88038,                0.83153,                0.89314,                0.64278,                 1.0358,                0.61147,                 1.1386,               0.008548,               0.008548,               0.008548
                     46,                 1.0445,                0.83791,                 1.1982,                0.88007,                0.83371,                0.89397,                0.64364,                 1.0346,                 0.6078,                 1.1375,               0.008515,               0.008515,               0.008515
                     47,                 1.0422,                0.83369,                 1.1982,                 0.8803,                0.83582,                0.89505,                0.64453,                 1.0337,                0.60453,                 1.1368,               0.008482,               0.008482,               0.008482
                     48,                  1.036,                0.82869,                 1.1946,                0.88026,                0.83751,                0.89527,                0.64487,                  1.035,                0.60658,                 1.1377,               0.008449,               0.008449,               0.008449
                     49,                 1.0376,                0.82743,                 1.1934,                0.87942,                0.83922,                0.89617,                0.64608,                 1.0339,                 0.6035,                 1.1367,               0.008416,               0.008416,               0.008416
                     50,                 1.0331,                0.82254,                 1.1909,                0.87836,                0.84141,                0.89662,                0.64667,                 1.0328,                0.60127,                 1.1358,               0.008383,               0.008383,               0.008383
                     51,                 1.0387,                 0.8203,                 1.1919,                0.87865,                0.84214,                0.89751,                0.64724,                 1.0345,                0.60585,                 1.1359,                0.00835,                0.00835,                0.00835
                     52,                 1.0365,                0.82146,                 1.1925,                0.87904,                0.84227,                0.89786,                0.64771,                 1.0335,                0.60388,                 1.1349,               0.008317,               0.008317,               0.008317
                     53,                 1.0334,                0.81748,                 1.1902,                0.87763,                0.84485,                0.89829,                0.64827,                 1.0328,                0.60134,                 1.1343,               0.008284,               0.008284,               0.008284
                     54,                 1.0309,                0.81173,                 1.1874,                0.87848,                0.84587,                0.89902,                0.64893,                 1.0321,                0.59924,                 1.1334,               0.008251,               0.008251,               0.008251
                     55,                 1.0299,                0.80925,                 1.1855,                0.87775,                0.84969,                0.89982,                0.64943,                 1.0318,                0.59787,                 1.1328,               0.008218,               0.008218,               0.008218
                     56,                 1.0291,                0.80739,                 1.1887,                0.87891,                0.84959,                0.89989,                0.64945,                  1.031,                0.59659,                 1.1323,               0.008185,               0.008185,               0.008185
                     57,                 1.0285,                0.80687,                 1.1867,                0.88031,                 0.8491,                0.90047,                0.64993,                 1.0308,                0.59507,                 1.1317,               0.008152,               0.008152,               0.008152
                     58,                 1.0286,                0.80752,                 1.1868,                0.88142,                0.84948,                0.90084,                0.65005,                 1.0303,                0.59383,                 1.1314,               0.008119,               0.008119,               0.008119
                     59,                 1.0288,                0.80481,                 1.1832,                0.88196,                0.84972,                0.90179,                0.65075,                 1.0309,                0.59232,                 1.1305,               0.008086,               0.008086,               0.008086
                     60,                 1.0249,                0.79795,                 1.1824,                0.88249,                0.85019,                0.90197,                0.65129,                 1.0302,                0.59094,                 1.1296,               0.008053,               0.008053,               0.008053
                     61,                 1.0254,                0.80041,                 1.1849,                0.88465,                0.85002,                0.90235,                0.65165,                 1.0298,                0.58913,                 1.1293,                0.00802,                0.00802,                0.00802
                     62,                 1.0231,                0.79625,                 1.1839,                0.88564,                0.85033,                0.90273,                0.65198,                 1.0294,                 0.5872,                 1.1291,               0.007987,               0.007987,               0.007987
                     63,                 1.0252,                0.79631,                 1.1833,                 0.8853,                0.85149,                0.90287,                 0.6524,                 1.0292,                0.58607,                 1.1287,               0.007954,               0.007954,               0.007954
                     64,                 1.0222,                0.79265,                 1.1813,                0.88554,                0.85127,                0.90314,                0.65273,                  1.029,                0.58492,                 1.1285,               0.007921,               0.007921,               0.007921
                     65,                 1.0244,                0.79194,                 1.1823,                0.88479,                0.85184,                0.90344,                0.65301,                 1.0292,                0.58652,                 1.1281,               0.007888,               0.007888,               0.007888
                     66,                 1.0191,                0.78792,                 1.1805,                0.88612,                0.85133,                0.90369,                0.65329,                 1.0285,                0.58524,                 1.1277,               0.007855,               0.007855,               0.007855
                     67,                   1.02,                0.79044,                 1.1806,                0.88683,                0.85175,                0.90413,                0.65329,                 1.0281,                0.58397,                 1.1276,               0.007822,               0.007822,               0.007822
                     68,                  1.016,                0.78559,                 1.1798,                0.88469,                0.85336,                0.90423,                0.65375,                 1.0277,                0.58348,                 1.1275,               0.007789,               0.007789,               0.007789
                     69,                 1.0165,                0.78401,                 1.1787,                0.88541,                0.85356,                0.90429,                0.65404,                 1.0273,                0.58259,                 1.1274,               0.007756,               0.007756,               0.007756
                     70,                 1.0177,                0.78119,                 1.1785,                0.88451,                 0.8545,                0.90418,                 0.6525,                 1.0346,                0.59529,                 1.1303,               0.007723,               0.007723,               0.007723
                     71,                 1.0161,                0.77995,                 1.1759,                0.88348,                0.85669,                0.90467,                0.65327,                 1.0339,                0.59406,                 1.1296,                0.00769,                0.00769,                0.00769
                     72,                 1.0169,                0.78339,                 1.1805,                 0.8784,                0.85682,                0.90088,                 0.6445,                 1.0359,                0.59313,                 1.1328,               0.007657,               0.007657,               0.007657
                     73,                 1.0167,                0.78032,                 1.1764,                 0.8768,                0.85952,                0.90135,                0.64463,                 1.0355,                0.59215,                 1.1323,               0.007624,               0.007624,               0.007624
                     74,                 1.0131,                  0.778,                 1.1738,                0.87676,                0.86047,                0.90191,                0.64514,                 1.0351,                0.59124,                 1.1314,               0.007591,               0.007591,               0.007591
                     75,                 1.0141,                0.77344,                 1.1743,                0.87585,                0.85564,                0.89321,                0.62751,                 1.0353,                0.60524,                 1.1323,               0.007558,               0.007558,               0.007558
                     76,                 1.0103,                0.77532,                  1.174,                0.87451,                0.85659,                0.89314,                0.62773,                  1.035,                0.60476,                 1.1318,               0.007525,               0.007525,               0.007525
                     77,                 1.0119,                0.77083,                 1.1743,                0.87401,                0.85768,                0.89313,                0.62778,                 1.0348,                0.60401,                 1.1316,               0.007492,               0.007492,               0.007492
                     78,                 1.0117,                0.77038,                 1.1741,                0.87626,                0.85708,                0.89334,                0.62618,                 1.0438,                0.61117,                 1.1368,               0.007459,               0.007459,               0.007459
                     79,                 1.0086,                0.76704,                 1.1746,                0.85751,                0.86325,                0.86915,                0.58892,                 1.0438,                0.67728,                 1.1387,               0.007426,               0.007426,               0.007426
                     80,                 1.0112,                 0.7677,                  1.173,                0.85721,                0.86385,                0.86895,                0.58875,                 1.0434,                0.67674,                 1.1384,               0.007393,               0.007393,               0.007393
                     81,                 1.0083,                 0.7654,                 1.1699,                0.85695,                0.86447,                0.86882,                0.58855,                 1.0436,                0.67692,                 1.1381,                0.00736,                0.00736,                0.00736
                     82,                 1.0068,                0.76187,                 1.1697,                0.84533,                0.86727,                0.86586,                0.58555,                 1.0434,                0.69839,                 1.1381,               0.007327,               0.007327,               0.007327
                     83,                 1.0052,                0.76341,                 1.1702,                0.83597,                0.87046,                0.86274,                0.58236,                 1.0435,                 0.7109,                 1.1382,               0.007294,               0.007294,               0.007294
                     84,                 1.0032,                0.76272,                 1.1684,                0.83571,                0.86987,                0.86232,                0.58222,                 1.0435,                0.71131,                  1.138,               0.007261,               0.007261,               0.007261
                     85,                 1.0055,                0.76199,                 1.1691,                0.83557,                0.87045,                0.86193,                0.57774,                 1.0627,                0.72088,                 1.1444,               0.007228,               0.007228,               0.007228
                     86,                 1.0051,                0.76211,                 1.1713,                0.83547,                0.87075,                0.86198,                0.57796,                 1.0625,                0.72067,                 1.1442,               0.007195,               0.007195,               0.007195
                     87,                 1.0043,                0.75986,                 1.1702,                0.84521,                0.87107,                 0.8679,                0.58462,                  1.063,                 0.7041,                 1.1443,               0.007162,               0.007162,               0.007162
                     88,                 1.0036,                0.75995,                 1.1665,                0.84459,                0.87032,                0.86761,                0.58454,                 1.0621,                 0.7043,                 1.1435,               0.007129,               0.007129,               0.007129
                     89,                 1.0027,                0.75641,                  1.169,                0.80068,                0.87039,                0.84417,                0.56134,                 1.0633,                0.79918,                 1.1472,               0.007096,               0.007096,               0.007096
                     90,                  1.001,                0.75605,                  1.168,                0.80038,                0.87056,                0.84415,                0.56126,                 1.0629,                0.80047,                 1.1471,               0.007063,               0.007063,               0.007063
                     91,                0.99917,                0.74908,                 1.1643,                0.77766,                0.87658,                0.82821,                0.54812,                  1.064,                0.87226,                  1.149,                0.00703,                0.00703,                0.00703
                     92,                0.99851,                0.75346,                 1.1652,                0.77045,                0.87934,                0.82084,                0.54279,                 1.0637,                0.89836,                 1.1493,               0.006997,               0.006997,               0.006997
                     93,                 1.0015,                0.75389,                 1.1674,                0.76896,                0.87963,                0.81997,                0.54108,                 1.0716,                0.90155,                 1.1547,               0.006964,               0.006964,               0.006964
                     94,                0.99702,                0.74797,                  1.164,                0.77046,                0.87771,                0.82038,                0.54051,                 1.0804,                0.90109,                 1.1584,               0.006931,               0.006931,               0.006931
                     95,                0.99786,                0.74821,                 1.1639,                0.76857,                0.87886,                0.82001,                0.54028,                 1.0806,                0.90219,                 1.1584,               0.006898,               0.006898,               0.006898
                     96,                0.99588,                0.74606,                 1.1653,                0.76556,                0.87952,                0.81932,                0.54055,                 1.0805,                 0.9042,                 1.1587,               0.006865,               0.006865,               0.006865
                     97,                0.99693,                0.74763,                 1.1649,                0.76208,                0.87904,                0.81832,                0.53683,                 1.0987,                0.90862,                 1.1663,               0.006832,               0.006832,               0.006832
                     98,                0.99456,                0.74441,                 1.1645,                0.76111,                0.87905,                0.81722,                0.53641,                 1.0984,                 0.9105,                 1.1658,               0.006799,               0.006799,               0.006799
                     99,                0.99224,                0.74462,                 1.1661,                0.75279,                0.87682,                0.81359,                0.51519,                 1.1907,                0.92787,                 1.2013,               0.006766,               0.006766,               0.006766
                    100,                0.99423,                 0.7405,                 1.1627,                0.75148,                0.87732,                0.81285,                0.51452,                 1.1905,                0.92949,                 1.2007,               0.006733,               0.006733,               0.006733
                    101,                0.99331,                0.74293,                  1.164,                0.71929,                0.86416,                0.80088,                0.50259,                 1.2033,                0.94941,                 1.2066,                 0.0067,                 0.0067,                 0.0067
                    102,                0.99366,                0.74143,                 1.1624,                 0.7285,                0.85823,                0.80647,                0.51114,                 1.2027,                0.94829,                 1.2084,               0.006667,               0.006667,               0.006667
                    103,                0.99338,                0.73954,                 1.1632,                0.72425,                0.85647,                0.80423,                 0.5092,                 1.2107,                0.95332,                 1.2142,               0.006634,               0.006634,               0.006634
                    104,                0.99288,                0.73976,                 1.1617,                0.72431,                0.85613,                0.80429,                0.50878,                 1.2108,                0.95457,                 1.2142,               0.006601,               0.006601,               0.006601
                    105,                0.98798,                0.73634,                 1.1617,                0.72369,                0.85558,                0.80327,                0.50868,                 1.2113,                0.95548,                 1.2146,               0.006568,               0.006568,               0.006568
                    106,                0.98966,                0.73638,                 1.1606,                0.72359,                0.85394,                0.80325,                0.50812,                 1.2107,                0.95657,                 1.2142,               0.006535,               0.006535,               0.006535
